time_mecab,time_okt,time_kkma
0.00900507,0.024932146,4.536348581
0.014995098,0.037897825,4.561256647
0.021942854,0.048868179,4.583239317
0.027924776,0.056847095,4.603186846
0.034905434,0.064825535,4.623092175
0.039950609,0.072808981,4.641042709
0.044937134,0.078786612,4.662984371
0.049915552,0.083775043,4.681958437
0.054902792,0.088761568,4.699886799
0.060885191,0.094745874,4.717884541
0.065663099,0.098734856,4.735788584
0.070649862,0.10372138,4.753742456
0.07572794,0.10870862,4.788646936
0.080701351,0.112697601,4.805601835
0.086693048,0.116686821,4.819564104
0.091637135,0.121673584,4.832529545
0.097072363,0.125663042,4.844539881
0.102058172,0.129652262,4.857509851
0.106595278,0.133641481,4.870471001
0.113535166,0.136633635,4.88244009
0.118606329,0.14066577,4.894406796
0.123566151,0.144612312,4.905376911
0.128554344,0.147603989,4.917346239
0.133541346,0.151593447,4.928316355
0.138525963,0.1545856,4.940284491
0.143512249,0.158574581,4.956246614
0.147503614,0.161566734,4.967211723
0.152490377,0.164558649,4.979179382
0.157482386,0.167550564,4.991148472
0.162461281,0.17154026,5.002122402
0.167447805,0.174531937,5.013090134
0.172376394,0.177523851,5.024060249
0.177423716,0.180516243,5.036027431
0.182407856,0.183508396,5.047953844
0.186397791,0.186500788,5.058966637
0.191384077,0.190489531,5.069894314
0.196370602,0.193481207,5.082895517
0.201358318,0.196473598,5.094828844
0.206344843,0.199465752,5.113779068
0.211332798,0.203454733,5.124791384
0.217315197,0.206446648,5.136758327
0.222302914,0.211433649,5.147729158
0.227290154,0.21542263,5.157661676
0.231277466,0.218414545,5.167636156
0.236264467,0.221406937,5.178645849
0.241192579,0.224398851,5.190573454
0.246237278,0.227391243,5.202584028
0.251224041,0.230382919,5.211558342
0.256217957,0.233375072,5.221530914
0.261139393,0.236366987,5.232501507
0.267209768,0.239358664,5.242475986
0.272200584,0.242350578,5.256396294
0.277215958,0.244345188,5.265415192
0.28220439,0.247336864,5.27538681
0.287191391,0.250329256,5.285361052
0.292175293,0.253321409,5.295333862
0.297161818,0.255316019,5.305309057
0.302155256,0.258307934,5.314279556
0.307136297,0.261300325,5.324257612
0.312093735,0.264291763,5.333232641
0.317141294,0.266287088,5.343209267
0.322120428,0.269278526,5.352186203
0.327226639,0.272270679,5.362114429
0.332213879,0.275262356,5.372088194
0.33720088,0.277257919,5.381106377
0.342186689,0.281246662,5.395067692
0.347172976,0.284238577,5.406037569
0.35213685,0.286233187,5.416015625
0.357095242,0.289224863,5.424985886
0.362082481,0.292217016,5.434960842
0.368066788,0.295208931,5.443940163
0.37211132,0.297204018,5.453910828
0.377187014,0.300196171,5.463887453
0.382116795,0.303188562,5.472860336
0.387161732,0.306180716,5.48183465
0.392148972,0.30817461,5.49173522
0.397135258,0.31216526,5.500709057
0.402120829,0.331112862,5.511679888
0.407107353,0.333108187,5.525681496
0.41209507,0.336100817,5.535654306
0.417080879,0.338095188,5.544630527
0.422066927,0.340089321,5.553606272
0.42705512,0.342084169,5.563579798
0.432042122,0.344078541,5.572559595
0.437028885,0.347070694,5.58252883
0.442013741,0.349065781,5.591511726
0.447000265,0.352057695,5.601478338
0.451987267,0.354051828,5.612407207
0.45697403,0.356046677,5.622422695
0.461960554,0.359038353,5.632354021
0.466952324,0.361032963,5.641371727
0.471935511,0.363027811,5.651345253
0.476922035,0.365022421,5.666305304
0.481906652,0.368014574,5.675281286
0.486893654,0.370009422,5.685255051
0.491880655,0.373001814,5.695228577
0.496866941,0.374995947,5.704203844
0.501853943,0.3779881,5.715174437
0.506841421,0.379982233,5.725147963
0.511827469,0.381977558,5.734123945
0.51581645,0.384969234,5.74310112
0.521800041,0.386964083,5.753072739
0.526730061,0.388958693,5.763004541
0.532772779,0.390953302,5.772026062
0.536702394,0.392947912,5.781995296
0.54274416,0.394943237,5.795961857
0.547735453,0.397934675,5.80593133
0.55172205,0.399929047,5.815905094
0.557704926,0.401923656,5.825878143
0.562691212,0.403918505,5.834854603
0.566679955,0.405913115,5.844787598
0.571672916,0.408904076,5.853803635
0.576654196,0.410900831,5.863777399
0.581640482,0.413891554,5.873708487
0.586628199,0.416883469,5.882725954
0.591615438,0.418878555,5.892790079
0.595602512,0.42087245,5.902759075
0.600589752,0.423864603,5.911735773
0.605576515,0.425858974,5.921709061
0.610564232,0.427853823,5.936668873
0.615551472,0.429848671,5.94563961
0.620537758,0.431843281,5.955618143
0.625522614,0.434835911,5.964593172
0.63051033,0.436830521,5.974566936
0.635437965,0.43882513,5.98454833
0.640482903,0.440821171,5.993516445
0.645469427,0.442816257,6.002492905
0.650457621,0.445807457,6.012466192
0.655444622,0.44780159,6.023436546
0.660431385,0.449796677,6.033410072
